,éûçè,èoóàçÇ,ñÒíËíl
0,15:00:00,146500.0,1582.0
1,14:59:59,1000.0,1589.0
2,14:59:59,2900.0,1590.0
3,14:59:59,100.0,1596.0
4,14:59:59,1400.0,1591.0
5,14:59:58,100.0,1595.0
6,14:59:58,100.0,1595.0
7,14:59:58,300.0,1595.0
8,14:59:57,600.0,1595.0
9,14:59:57,100.0,1594.0
10,14:59:57,100.0,1591.0
11,14:59:57,300.0,1592.0
12,14:59:57,100.0,1592.0
13,14:59:57,100.0,1596.0
14,14:59:56,500.0,1594.0
15,14:59:56,100.0,1594.0
16,14:59:56,2700.0,1595.0
17,14:59:56,2000.0,1596.0
18,14:59:56,300.0,1596.0
19,14:59:56,300.0,1602.0
20,14:59:56,100.0,1600.0
21,14:59:56,100.0,1598.0
22,14:59:55,100.0,1597.0
23,14:59:55,100.0,1596.0
24,14:59:55,100.0,1596.0
25,14:59:54,100.0,1598.0
26,14:59:54,300.0,1596.0
27,14:59:54,2300.0,1597.0
28,14:59:54,2200.0,1598.0
29,14:59:54,1800.0,1599.0
30,14:59:54,2000.0,1600.0
31,14:59:53,300.0,1602.0
32,14:59:53,200.0,1601.0
33,14:59:53,100.0,1603.0
34,14:59:53,500.0,1600.0
35,14:59:53,100.0,1601.0
36,14:59:52,100.0,1602.0
37,14:59:52,100.0,1605.0
38,14:59:52,400.0,1602.0
39,14:59:51,200.0,1605.0
40,14:59:51,100.0,1600.0
41,14:59:51,300.0,1601.0
42,14:59:51,200.0,1605.0
43,14:59:50,200.0,1600.0
44,14:59:50,300.0,1601.0
45,14:59:50,500.0,1601.0
46,14:59:50,100.0,1603.0
47,14:59:50,100.0,1602.0
48,14:59:50,100.0,1603.0
49,14:59:50,100.0,1604.0
50,14:59:50,600.0,1606.0
51,14:59:49,300.0,1604.0
52,14:59:49,100.0,1604.0
53,14:59:49,1200.0,1601.0
54,14:59:49,800.0,1602.0
55,14:59:49,200.0,1603.0
56,14:59:49,1000.0,1603.0
57,14:59:48,100.0,1604.0
58,14:59:48,100.0,1603.0
59,14:59:47,300.0,1605.0
60,14:59:47,700.0,1608.0
61,14:59:47,200.0,1608.0
62,14:59:47,200.0,1607.0
